"datenumber"	"yyyymmdd"
1327	20070917
1328	20070918
1329	20070919
1330	20070920
1331	20070921
1332	20070924
1333	20070925
1334	20070926
1335	20070927
1336	20070928
1337	20071001
1338	20071002
1339	20071003
1340	20071004
1341	20071005
1342	20071009
1343	20071010
1344	20071011
1345	20071012
1346	20071015
1347	20071016
1348	20071017
1349	20071018
1350	20071019
1351	20071022
1352	20071023
1353	20071024
1354	20071025
1355	20071026
1356	20071029
1357	20071030
1358	20071031
1359	20071101
1360	20071102
1361	20071105
1362	20071106
1363	20071107
1364	20071108
1365	20071109
1366	20071113
1367	20071114
1368	20071115
1369	20071116
1370	20071119
1371	20071120
1372	20071121
1373	20071123
1374	20071126
1375	20071127
1376	20071128
1377	20071129
1378	20071130
1379	20071203
1380	20071204
1381	20071205
1382	20071206
1383	20071207
1384	20071210
1385	20071211
1386	20071212
1387	20071213
1388	20071214
1389	20071217
1390	20071218
1391	20071219
1392	20071220
1393	20071221
1394	20071224
1395	20071226
1396	20071227
1397	20071228
1398	20071231
1399	20080102
1400	20080103
1401	20080104
1402	20080107
1403	20080108
1404	20080109
1405	20080110
1406	20080111
1407	20080114
1408	20080115
1409	20080116
1410	20080117
1411	20080118
1412	20080122
1413	20080123
1414	20080124
1415	20080125
1416	20080128
1417	20080129
1418	20080130
1419	20080131
1420	20080201
1421	20080204
1422	20080205
1423	20080206
1424	20080207
1425	20080208
1426	20080211
1427	20080212
1428	20080213
1429	20080214
1430	20080215
1431	20080219
1432	20080220
1433	20080221
1434	20080222
1435	20080225
1436	20080226
1437	20080227
1438	20080228
1439	20080229
1440	20080303
1441	20080304
1442	20080305
1443	20080306
1444	20080307
1445	20080310
1446	20080311
1447	20080312
1448	20080313
1449	20080314
1450	20080317
1451	20080318
1452	20080319
1453	20080320
1454	20080324
1455	20080325
1456	20080326
1457	20080327
1458	20080328
1459	20080331
1460	20080401
1461	20080402
1462	20080403
1463	20080404
1464	20080407
1465	20080408
1466	20080409
1467	20080410
1468	20080411
1469	20080414
1470	20080415
1471	20080416
1472	20080417
1473	20080418
1474	20080421
1475	20080422
1476	20080423
1477	20080424
1478	20080425
1479	20080428
1480	20080429
1481	20080430
1482	20080501
1483	20080502
1484	20080505
1485	20080506
1486	20080507
