"","dt","SIC_CODE","investment_Barc","percent_investment_Barc","investment_BofA","percent_investment_BofA","junk_Barc","percent_junk_Barc","junk_BofA","percent_junk_BofA","distressed_Barc","percent_distressed_Barc","distressed_BofA","percent_distressed_BofA"
"119",2003-08-29,6282,0,0,0,0,0,0,0,0,275000,0.0377864037648999,275000,0.0377864037648999
"120",2003-08-29,7513,225000,0.188284518828452,225000,0.0959488272921109,0,0,0,0,0,0,0,0
"121",2003-09-30,2000,0,0,0,0,0,0,0,0,4653000,0.850795392210642,1800000,0.688073394495413
"122",2003-09-30,2812,0,0,0,0,0,0,0,0,16000,0.00292558054488938,16000,0.00611620795107034
"123",2003-09-30,3443,475000,0.266805068285247,475000,0.160472972972973,0,0,0,0,0,0,0,0
"124",2003-09-30,3821,240000,0.134806771344125,240000,0.0810810810810811,0,0,0,0,0,0,0,0
"125",2003-09-30,4911,0,0,0,0,2380000,1,9089156,1,0,0,0,0
"126",2003-09-30,5411,695326,0.390561054548437,1875000,0.633445945945946,0,0,0,0,0,0,0,0
"127",2003-09-30,6330,0,0,0,0,0,0,0,0,8e+05,0.146279027244469,8e+05,0.305810397553517
"128",2003-09-30,7900,370000,0.207827105822192,370000,0.125,0,0,0,0,0,0,0,0
"129",2003-10-31,2024,7e+05,0.424242424242424,7e+05,0.482758620689655,0,0,0,0,0,0,0,0
"130",2003-10-31,2819,0,0,0,0,3716650,0.866018897160766,3716650,0.891999567998272,0,0,0,0
"131",2003-10-31,3484,2e+05,0.121212121212121,2e+05,0.137931034482759,0,0,0,0,0,0,0,0
"132",2003-10-31,3826,135000,0.0818181818181818,135000,0.0931034482758621,0,0,0,0,0,0,0,0
"133",2003-10-31,4911,0,0,0,0,0,0,0,0,25497578,1,24327578,1
"134",2003-10-31,5500,75000,0.0454545454545455,75000,0.0517241379310345,0,0,0,0,0,0,0,0
"135",2003-10-31,6331,0,0,0,0,575000,0.133981102839234,450000,0.108000432001728,0,0,0,0
"136",2003-10-31,7941,540000,0.327272727272727,340000,0.23448275862069,0,0,0,0,0,0,0,0
"137",2003-11-28,1310,1e+05,0.0258064516129032,1e+05,0.0213903743315508,0,NA,0,NA,0,0,0,0
"138",2003-11-28,2631,250000,0.0645161290322581,350000,0.0748663101604278,0,NA,0,NA,0,0,0,0
"139",2003-11-28,3143,85000,0.0219354838709677,85000,0.0181818181818182,0,NA,0,NA,0,0,0,0
"140",2003-11-28,3669,230000,0.0593548387096774,230000,0.0491978609625668,0,NA,0,NA,0,0,0,0
"141",2003-11-28,4812,2735000,0.705806451612903,3435000,0.73475935828877,0,NA,0,NA,0,0,0,0
"142",2003-11-28,5111,0,0,0,0,0,NA,0,NA,1060900,1,1060900,1
"143",2003-11-28,6153,0,0,0,0,0,NA,0,NA,0,0,0,0
"144",2003-11-28,7319,475000,0.12258064516129,475000,0.101604278074866,0,NA,0,NA,0,0,0,0
"145",2003-12-31,2531,0,0,0,0,0,NA,0,NA,925000,0.513888888888889,925000,0.513888888888889
"146",2003-12-31,3052,125000,0.122549019607843,125000,0.122549019607843,0,NA,0,NA,0,0,0,0
"147",2003-12-31,3643,515000,0.504901960784314,515000,0.504901960784314,0,NA,0,NA,0,0,0,0
"148",2003-12-31,4522,230000,0.225490196078431,230000,0.225490196078431,0,NA,0,NA,0,0,0,0
"149",2003-12-31,5049,150000,0.147058823529412,150000,0.147058823529412,0,NA,0,NA,0,0,0,0
"150",2003-12-31,6036,0,0,0,0,0,NA,0,NA,125000,0.0694444444444444,125000,0.0694444444444444
"151",2003-12-31,7200,0,0,0,0,0,NA,0,NA,750000,0.416666666666667,750000,0.416666666666667
"152",2003-12-31,9411,0,0,0,0,0,NA,0,NA,0,0,0,0
"153",2004-01-30,1400,0,0,0,0,0,NA,0,NA,0,0,0,0
"154",2004-01-30,2721,365000,0.121869782971619,365000,0.125429553264605,0,NA,0,NA,0,0,0,0
"155",2004-01-30,3364,1e+05,0.0333889816360601,1e+05,0.0343642611683849,0,NA,0,NA,0,0,0,0
"156",2004-01-30,3724,2e+05,0.0667779632721202,2e+05,0.0687285223367698,0,NA,0,NA,0,0,0,0
"157",2004-01-30,4833,2030000,0.67779632721202,2045000,0.702749140893471,0,NA,0,NA,0,0,0,0
"158",2004-01-30,5211,0,0,0,0,0,NA,0,NA,1973000,1,1973000,1
"159",2004-01-30,6211,2e+05,0.0667779632721202,1e+05,0.0343642611683849,0,NA,0,NA,0,0,0,0
"160",2004-01-30,7389,1e+05,0.0333889816360601,1e+05,0.0343642611683849,0,NA,0,NA,0,0,0,0
"161",2004-02-27,2515,2e+05,0.0246991458788364,2e+05,0.0355236379615542,0,0,0,0,0,0,0,0
"162",2004-02-27,3011,0,0,0,0,0,0,0,0,350000,1,350000,1
"163",2004-02-27,3634,210000,0.0259341031727782,210000,0.0372998198596319,0,0,0,0,0,0,0,0
"164",2004-02-27,4512,5492446,0.678293624928156,3025054,0.537304615550757,0,0,0,0,0,0,0,0
"165",2004-02-27,5044,1e+05,0.0123495729394182,1e+05,0.0177618189807771,0,0,0,0,0,0,0,0
"166",2004-02-27,6035,0,0,0,0,1e+05,1,1e+05,1,0,0,0,0
"167",2004-02-27,7011,1925000,0.2377292790838,1925000,0.341915015379959,0,0,0,0,0,0,0,0
"168",2004-02-27,8734,170000,0.0209942739970109,170000,0.0301950922673211,0,0,0,0,0,0,0,0
"169",2004-03-31,1311,3025000,0.889705882352941,2200000,0.854368932038835,0,0,0,0,0,0,0,0
"170",2004-03-31,2670,0,0,0,0,0,0,0,0,660000,0.0258661972187019,660000,0.984141895367823
"171",2004-03-31,3296,1e+05,0.0294117647058824,1e+05,0.0388349514563107,0,0,0,0,0,0,0,0
"172",2004-03-31,3711,0,0,0,0,0,0,0,0,24855927,0.974133802781298,10635,0.015858104632177
"173",2004-03-31,4813,0,0,0,0,34018080,0.776597375980022,26758461,0.879943455448623,0,0,0,0
"174",2004-03-31,5140,275000,0.0808823529411765,275000,0.106796116504854,0,0,0,0,0,0,0,0
"175",2004-03-31,6159,0,0,0,0,9765931,0.222946044826808,3630835,0.119398850930321,0,0,0,0
"176",2004-03-31,7363,0,0,0,0,20000,0.000456579193170233,20000,0.000657693621055877,0,0,0,0
"177",2004-04-30,1311,975000,0.755813953488372,925000,0.745967741935484,0,0,0,0,0,0,0,0
"178",2004-04-30,2670,0,0,0,0,0,0,0,0,0,0,0,0
"179",2004-04-30,3272,0,0,0,0,0,0,0,0,399897,1,399897,1
"180",2004-04-30,3699,90000,0.0697674418604651,90000,0.0725806451612903,0,0,0,0,0,0,0,0
"181",2004-04-30,4813,0,0,0,0,275000,0.44,2329000,0.869354236655468,0,0,0,0
"182",2004-04-30,5136,175000,0.135658914728682,175000,0.141129032258065,0,0,0,0,0,0,0,0
"183",2004-04-30,6159,0,0,0,0,350000,0.56,350000,0.130645763344532,0,0,0,0
"184",2004-04-30,7363,50000,0.0387596899224806,50000,0.0403225806451613,0,0,0,0,0,0,0,0
"185",2004-05-28,2047,310000,0.14519906323185,150000,0.0759493670886076,0,NA,0,NA,0,0,0,0
"186",2004-05-28,2834,0,0,0,0,0,NA,0,NA,2e+05,0.063391442155309,225000,0.169172932330827
"187",2004-05-28,3531,175000,0.0819672131147541,175000,0.0886075949367089,0,NA,0,NA,0,0,0,0
"188",2004-05-28,3851,6e+05,0.281030444964871,6e+05,0.30379746835443,0,NA,0,NA,0,0,0,0
"189",2004-05-28,4922,0,0,0,0,0,NA,0,NA,2785000,0.882725832012678,935000,0.703007518796993
"190",2004-05-28,5731,0,0,0,0,0,NA,0,NA,170000,0.0538827258320127,170000,0.12781954887218
"191",2004-05-28,6351,350000,0.163934426229508,350000,0.177215189873418,0,NA,0,NA,0,0,0,0
"192",2004-05-28,7996,7e+05,0.327868852459016,7e+05,0.354430379746835,0,NA,0,NA,0,0,0,0
"193",2004-06-30,2064,70000,0.0710659176995759,70000,0.0999998571430612,0,NA,0,NA,0,0,0,0
"194",2004-06-30,2834,0,0,0,0,0,NA,0,NA,4050000,0.975903614457831,4050000,0.975903614457831
"195",2004-06-30,3531,0,0,0,0,0,NA,0,NA,1e+05,0.0240963855421687,1e+05,0.0240963855421687
"196",2004-06-30,3845,130000,0.13197956144207,130000,0.185714020408542,0,NA,0,NA,0,0,0,0
"197",2004-06-30,4922,1,1.01522739570823e-06,1,1.42856938775802e-06,0,NA,0,NA,0,0,0,0
"198",2004-06-30,5731,150000,0.152284109356234,150000,0.214285408163703,0,NA,0,NA,0,0,0,0
"199",2004-06-30,6331,385000,0.390862547347668,1e+05,0.142856938775802,0,NA,0,NA,0,0,0,0
"200",2004-06-30,7991,250000,0.253806848927057,250000,0.357142346939504,0,NA,0,NA,0,0,0,0
"201",2004-07-30,1011,0,0,0,0,1e+05,1,1e+05,1,0,0,0,0
"202",2004-07-30,2522,0,0,0,0,0,0,0,0,175000,0.0121077989861829,175000,0.0324735572462423
"203",2004-07-30,3021,0,0,0,0,0,0,0,0,420000,0.0290587175668389,420000,0.0779365373909816
"204",2004-07-30,3640,0,0,0,0,0,0,0,0,894000,0.0618535559636998,894000,0.165893486732232
"205",2004-07-30,4512,2357718,0.537957952120123,2886172,0.587674795344166,0,0,0,0,0,0,0,0
"206",2004-07-30,5044,1e+05,0.0228168912533273,1e+05,0.0203617385015227,0,0,0,0,0,0,0,0
"207",2004-07-30,6035,0,0,0,0,0,0,0,0,12964494,0.896979927483278,3900000,0.723696418630544
"208",2004-07-30,7011,1925000,0.43922515662655,1925000,0.391963466154311,0,0,0,0,0,0,0,0
"209",2004-07-30,8741,0,0,0,0,0,0,0,0,0,0,0,0
"210",2004-08-31,1389,0,0,0,0,0,0,0,0,1550000,0.911764705882353,1425000,0.904761904761905
"211",2004-08-31,2711,1100000,0.251198903859329,1100000,0.382608695652174,0,0,0,0,0,0,0,0
"212",2004-08-31,3320,250000,0.0570906599680292,250000,0.0869565217391304,0,0,0,0,0,0,0,0
"213",2004-08-31,3714,1325000,0.302580497830555,1275000,0.443478260869565,0,0,0,0,0,0,0,0
"214",2004-08-31,4813,1704000,0.389129938342087,250000,0.0869565217391304,0,0,0,0,0,0,0,0
"215",2004-08-31,5149,0,0,0,0,48000,1,48000,1,0,0,0,0
"216",2004-08-31,6162,0,0,0,0,0,0,0,0,0,0,0,0
"217",2004-08-31,7372,0,0,0,0,0,0,0,0,150000,0.0882352941176471,150000,0.0952380952380952
"218",2004-09-30,2080,0,0,0,0,1250000,1,1250000,1,0,0,0,0
"219",2004-09-30,2834,695000,0.257121716611173,695000,0.257121716611173,0,0,0,0,0,0,0,0
"220",2004-09-30,3531,0,0,0,0,0,0,0,0,1e+05,0.0315059861373661,1e+05,0.051948051948052
"221",2004-09-30,3845,130000,0.048094709581946,130000,0.048094709581946,0,0,0,0,0,0,0,0
"222",2004-09-30,4922,0,0,0,0,0,0,0,0,425000,0.133900441083806,425000,0.220779220779221
"223",2004-09-30,5651,0,0,0,0,0,0,0,0,3e+05,0.0945179584120983,3e+05,0.155844155844156
"224",2004-09-30,6331,0,0,0,0,0,0,0,0,2349000,0.74007561436673,1100000,0.571428571428571
"225",2004-09-30,7990,1878000,0.694783573806881,1878000,0.694783573806881,0,0,0,0,0,0,0,0
"226",2004-10-29,2211,450000,0.376726663876099,3e+05,0.254345061466723,0,0,0,0,0,NA,0,NA
"227",2004-10-29,2870,203500,0.170364169108414,203500,0.172530733361594,0,0,0,0,0,NA,0,NA
"228",2004-10-29,3562,110000,0.0920887400586019,110000,0.0932598558711318,0,0,0,0,0,NA,0,NA
"229",2004-10-29,4011,150000,0.125575554625366,150000,0.127172530733362,0,0,0,0,0,NA,0,NA
"230",2004-10-29,4931,0,0,0,0,993000,0.932832315641146,2085000,0.966844423834918,0,NA,0,NA
"231",2004-10-29,5941,131000,0.109669317706153,131000,0.111064010173802,0,0,0,0,0,NA,0,NA
"232",2004-10-29,6519,0,0,0,0,71500,0.0671676843588539,71500,0.0331555761650823,0,NA,0,NA
"233",2004-10-29,8062,150000,0.125575554625366,285000,0.241627808393387,0,0,0,0,0,NA,0,NA
"234",2004-11-30,1310,1e+05,0.0209305732884024,1e+05,0.0236535231922795,0,0,0,0,0,0,0,0
"235",2004-11-30,2621,530000,0.110932038428533,130000,0.0307495801499633,0,0,0,0,0,0,0,0
"236",2004-11-30,3089,0,0,0,0,555000,1,375000,1,0,0,0,0
"237",2004-11-30,3661,3847700,0.805345668417858,3697700,0.874636327080919,0,0,0,0,0,0,0,0
"238",2004-11-30,4700,0,0,0,0,0,0,0,0,106835,1,106835,1
"239",2004-11-30,5088,225000,0.0470937898989053,225000,0.0532204271826289,0,0,0,0,0,0,0,0
"240",2004-11-30,6091,0,0,0,0,0,0,0,0,0,0,0,0
"241",2004-11-30,7210,75000,0.0156979299663018,75000,0.0177401423942096,0,0,0,0,0,0,0,0
"242",2004-12-31,2430,0,0,0,0,0,0,0,0,1950000,0.681818181818182,1950000,0.764705882352941
"243",2004-12-31,2911,650000,0.333333333333333,9e+05,0.339622641509434,0,0,0,0,0,0,0,0
"244",2004-12-31,3585,250000,0.128205128205128,250000,0.0943396226415094,0,0,0,0,0,0,0,0
"245",2004-12-31,4512,0,0,0,0,1937571,1,918960,1,0,0,0,0
"246",2004-12-31,4955,0,0,0,0,0,0,0,0,0,0,0,0
"247",2004-12-31,6022,0,0,0,0,0,0,0,0,910000,0.318181818181818,6e+05,0.235294117647059
"248",2004-12-31,6798,950000,0.487179487179487,1400000,0.528301886792453,0,0,0,0,0,0,0,0
"249",2004-12-31,8399,1e+05,0.0512820512820513,1e+05,0.0377358490566038,0,0,0,0,0,0,0,0
